convN,alpha,discount,epsilon,fedP,syncBackups,stochasticPolicy,envSeed,trial,sims,endScoreStoch,comment,avgRew,episodes,endScoreBell,endScoreRand,aggs,backups,endScoreStochBell,endScore,finalDiff,threshDiff,threshRew,threshEp,threshBack
10,0.1,0.6,1.0,16,1000,True,3703,2,30300.0,-669.7760129350958,constant distance,-44.47188352557835,300.0,2426.075179067839,-4272.353648976949,30.0,30300.0,-793.3992577237733,2424.6248474958406,0.7941911712056051,0.9148442268279764,-44.47188352557835,299,30199
10,1.0,0.6,0.0,2,10,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14504.672698675688,1009395.0,10100000.0,14502.836003952058,14504.672698675688,5.315618057319413,5.315618057319413,146.48254600200215,99999,10099899
10,0.2,0.6,1.0,8,100,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14493.652530333908,100984.0,10100000.0,14499.431958544794,14504.672698675688,5.641945610341347,5.641945610341347,146.48254600200215,99999,10099899
10,0.01,0.6,1.0,4,10000,True,3701,0,30300.0,2320.4745831606497,constant distance,12.969983661111808,300.0,3913.432567588432,1150.5923088648046,3.0,30300.0,2114.2511362018427,3898.6047529358507,0.18499970874556182,0.09459871849350156,14.344931163552516,130,13130
10,0.1,0.6,1.0,4,10000,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14443.991776435378,1010.0,10100000.0,14502.426667191019,14504.672698675688,5.710389374235385,5.710389374235386,146.48254600200215,99999,10099899
10,0.1,0.6,0.0,4,1,True,3702,1,10100000.0,14491.067158448723,max episodes,146.48254600200215,100000.0,14502.836003952058,14497.325919781168,10031595.0,10100000.0,14502.426667191019,14504.672698675688,5.770160076080174,5.770160076080174,146.48254600200215,99999,10099899
10,1.0,0.6,0.0,4,10,True,3703,2,40400.0,-669.0709116755922,constant distance,-5.511289024853475,400.0,2426.075179067839,-4118.187685901947,4038.0,40400.0,-684.4862982928171,2090.5198741561867,1.9540295301253228,1.6740335029860398,-5.511289024853475,399,40299
10,0.1,0.6,0.0,16,1,True,3702,1,9026168.0,14476.373600659683,timeout,146.48254600200215,89368.0,14502.836003952058,14502.836003952058,9025777.0,9026168.0,14499.162614504798,14504.672698675688,5.696385884937882,5.696385884937882,146.48254600200215,89367,9026067
10,0.01,0.6,0.0,2,10000,True,3703,2,30300.0,-672.7718791870925,constant distance,-3.2838413623743543,300.0,2426.075179067839,-4259.41146407308,3.0,30300.0,-724.226136436315,2424.6248474958406,0.2585437714638634,0.0868758062245369,-5.519802213134394,60,6060
10,0.2,0.6,1.0,16,100,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14502.836003952058,100577.0,10100000.0,14499.841295305832,14504.672698675688,5.6414582307390635,5.641458230739064,146.48254600200215,99999,10099899
10,0.01,0.6,0.0,8,100,True,3701,0,40400.0,2155.288343542594,constant distance,18.52098262391576,400.0,3913.432567588432,1223.9574995631697,394.0,40400.0,2052.6478494524276,3898.6047529358507,0.07202085040261698,0.08890224880858061,20.836311574872465,130,13130
10,0.1,0.6,0.0,16,10000,True,3701,0,30300.0,2277.872991666875,constant distance,21.41600629805485,300.0,3913.432567588432,1159.5271492458792,3.0,30300.0,2140.1243365285,3898.6047529358507,0.5429566267114918,0.36671761873458303,21.41600629805485,299,30199
10,0.5,0.6,0.0,4,10,True,3703,2,30300.0,-1127.4267775349658,constant distance,-6.343254027346178,300.0,2426.075179067839,-4429.28582502997,3032.0,30300.0,-887.7646627785539,2424.6248474958406,1.0757987070862098,0.8546487510706439,-6.343254027346178,299,30199
10,0.01,0.6,1.0,2,10000,True,3701,0,40400.0,2176.1974853271545,constant distance,10.869961795983917,400.0,3913.432567588432,1228.5167947165073,4.0,40400.0,2058.683389402752,3898.6047529358507,0.1981849135838319,0.09735911811218949,14.53618699338692,170,17170
10,1.0,0.6,0.0,2,1000,True,3701,0,30300.0,1427.8927115099966,constant distance,20.715970867068147,300.0,3913.432567588432,1167.293498436794,30.0,30300.0,2161.7972871409165,82.3907109031751,2.5217125279405357,2.36253463095623,20.715970867068147,299,30199
10,0.1,0.6,1.0,2,1,True,3703,2,30300.0,-873.7410207574513,constant distance,-41.42110369242794,300.0,2426.075179067839,-4253.368207088956,30079.0,30300.0,-796.0825347383542,2424.6248474958406,0.5182970744044526,0.5163934398680827,-41.42110369242794,299,30199
10,0.01,0.6,0.0,8,10,True,3701,0,50500.0,2182.6773767208765,constant distance,19.912815502718534,500.0,3913.432567588432,1200.7153074456103,5048.0,50500.0,2189.1344150369846,3898.6047529358507,0.05550977374693226,0.07905588558975062,22.114501229380586,120,12120
10,0.5,0.6,1.0,1,-1,True,3701,0,40400.0,1987.424545281913,constant distance,13.510968073596928,400.0,3956.0167532177406,1304.5864912353386,0,40400.0,2223.9035385775046,3344.1331162205765,1.55175861565621,1.269514160503893,13.510968073596928,399,40299
10,0.01,0.6,1.0,8,10,True,3701,0,30300.0,2152.0880784930446,constant distance,13.16738415050095,300.0,3913.432567588432,1229.1015493743887,3020.0,30300.0,2116.0454852703206,3898.6047529358507,0.05682615647422218,0.08542096216809267,14.122650182236578,100,10100
10,0.5,0.6,1.0,2,1,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14504.672698675688,10002544.0,10100000.0,14502.426667191019,14504.672698675688,5.337244544336444,5.337244544336444,146.48254600200215,99999,10099899
10,0.2,0.6,1.0,2,1000,True,3701,0,30300.0,2171.556064759371,constant distance,18.323246736447267,300.0,3913.432567588432,1239.2351938987117,30.0,30300.0,2154.2129532194863,3898.6047529358507,0.9409320947841628,1.195179648632524,18.323246736447267,299,30199
10,0.1,0.6,1.0,8,10,True,3701,0,30300.0,2135.1216034420586,constant distance,9.382115877348701,300.0,3913.432567588432,1179.9747650073705,3030.0,30300.0,2155.6683340122772,3898.6047529358507,0.18974976628555598,0.18627105735947413,9.382115877348701,299,30199
10,1.0,0.6,1.0,2,1,True,3701,0,30300.0,2466.994486322441,constant distance,14.65983422902996,300.0,3913.432567588432,1193.8498163162399,30226.0,30300.0,2231.355865802673,4074.9011861201907,1.5936264560898092,2.126489672776643,14.65983422902996,299,30199
10,0.2,0.6,0.0,2,1,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14493.652530333908,10093962.0,10100000.0,14502.426667191019,14504.672698675688,5.690850234474522,5.690850234474521,146.48254600200215,99999,10099899
10,0.5,0.6,1.0,4,100,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14504.672698675688,100313.0,10100000.0,14502.836003952058,14504.672698675688,5.389686192653551,5.389686192653552,146.48254600200215,99999,10099899
10,0.1,0.6,1.0,2,1000,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14502.836003952058,10100.0,10100000.0,14502.836003952058,14504.672698675688,5.697750286809401,5.697750286809401,146.48254600200215,99999,10099899
10,1.0,0.6,0.0,1,-1,True,3702,1,10100000.0,14504.672698675688,max episodes,146.48254600200215,100000.0,14503.924021514133,14504.672698675688,0,10100000.0,14497.325919781168,14504.672698675688,5.350019250675069,5.350019250675069,146.48254600200215,99999,10099899
10,0.2,0.6,0.0,4,100,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14504.672698675688,98219.0,10100000.0,14499.162614504798,14504.672698675688,5.740385535358453,5.7403855353584525,146.48254600200215,99999,10099899
10,0.2,0.6,0.0,4,1000,True,3701,0,30300.0,1941.6153103459249,constant distance,25.466811037012203,300.0,3913.432567588432,1195.2436812814854,30.0,30300.0,2078.361991746116,3898.6047529358507,0.8675249995819092,1.1640895568822665,25.466811037012203,299,30199
10,0.5,0.6,0.0,4,1,True,3703,2,30300.0,-615.649852171067,constant distance,-10.989190472190382,300.0,2426.075179067839,-4282.992659250355,29909.0,30300.0,-782.4183265323055,2090.5198741561867,0.9326384295661307,0.7256164365546784,-10.989190472190382,299,30199
10,0.5,0.6,1.0,2,10,True,3703,2,30300.0,-1598.677063699092,constant distance,-42.23726505969528,300.0,2426.075179067839,-4326.282909956079,2951.0,30300.0,-930.8846497186601,-2550.2803289322733,1.8553868722496307,1.9789130729349904,-42.23726505969528,299,30199
